ID,Label
1529,0
1530,0
1531,1
1532,1
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,1
1540,1
1541,0
1542,0
1543,0
1544,1
1545,0
1546,1
1547,1
1548,0
1549,1
1550,1
1551,0
1552,1
1553,0
1554,1
1555,1
1556,0
1557,0
1558,0
1559,0
1560,1
1561,0
1562,0
1563,0
1564,1
1565,1
1566,1
1567,0
